Date,Close,High,Low,Open,Volume
2021-03-02,28.540300369262695,28.83253978265461,28.540300369262695,28.83253978265461,127944
2021-03-03,28.233924865722656,28.596866237425232,28.233924865722656,28.563871404137245,231137
2021-03-04,27.87569808959961,28.30462731403726,27.644736061482014,28.191502432797854,604788
2021-03-05,28.436601638793945,28.4695964668693,27.69186815517236,28.182072927800494,292214
2021-03-08,28.380043029785156,28.705275490056074,28.380043029785156,28.526160946948288,238322
2021-03-09,28.658140182495117,28.851393316238767,28.46959931432997,28.497880085661706,109580
2021-03-10,28.771263122558594,28.917382832988395,28.752410471409412,28.79954389374754,194011
2021-03-11,28.856109619140625,29.06350494913525,28.846683292785777,28.912671166200376,109181
2021-03-12,28.757122039794922,28.78540281029825,28.634570837970415,28.78540281029825,100000
2021-03-15,28.95037841796875,28.95037841796875,28.733556773921265,28.813686824019722,45708
2021-03-16,28.849037170410156,29.023435858365428,28.813686206261465,28.983372628640367,56487
2021-03-17,28.83254051208496,28.917382825630217,28.752410464093213,28.818400126494087,65469
2021-03-18,28.69113540649414,28.91973950753079,28.658140574667204,28.757123275682805,109181
2021-03-19,28.620433807373047,28.702919995831156,28.52616336500225,28.68642347592567,64471
2021-03-22,28.879676818847656,28.929169967824162,28.620433997835445,28.620433997835445,57684
2021-03-23,28.775978088378906,29.002226059477426,28.728842870091896,28.950378575487374,92614
2021-03-24,28.639286041259766,28.926809612142748,28.639286041259766,28.823112851335555,49501
2021-03-25,28.860824584960938,28.912672073237136,28.469602420283532,28.52616396911771,118562
2021-03-26,29.23318862915039,29.23318862915039,28.832541958029672,28.846682344329686,170259
2021-03-29,29.223764419555664,29.308608537965608,29.082358751849355,29.13420803501462,71257
2021-03-30,29.19548225402832,29.299179020953314,29.16720148072744,29.247329740258163,132934
2021-03-31,29.22847557067871,29.365167164181912,29.17662629267465,29.23318783634074,117764
2021-04-01,29.497146606445312,29.497146606445312,29.35574273812923,29.35574273812923,133532
2021-04-05,29.8695125579834,29.893079269829272,29.69511207135606,29.69511207135606,77644
2021-04-06,29.954355239868164,30.01563263923942,29.881297176127916,29.911934081348292,84431
2021-04-07,30.10519027709961,30.147609642930473,30.0486269355727,30.06276911680342,100399
2021-04-08,30.10990333557129,30.15703676024398,30.072194442474817,30.15703676024398,60279
2021-04-09,30.241878509521484,30.241878509521484,30.07690793733768,30.07690793733768,70658
